#,PLANTA,FRUTO,SEVERIDAD (%),"Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP)","Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP)","RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP)","Dew Point (S-THC 21246400:21262596-3), *C, PATFA1 (INIAP)","Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP)","Gust Speed (S-WSB 21246400:21262656-2), m/s, PATFA1 (INIAP)","Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP)",INCIDENCIA,
23,PL003,3,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
24,PL003,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
25,PL003,5,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
26,PL003,6,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
27,PL003,7,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
28,PL003,8,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
29,PL003,9,70,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
30,PL003,10,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
31,PL004,1,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
32,PL004,2,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
33,PL004,3,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
34,PL004,4,0,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,
35,PL004,5,70,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,
