classes,functions,duplicated_lines,complexity,comment_lines,files,lines,statements,bugs,Toxicos
1114,10531,5960,18506,15088,1689,242816,39310,1299,2
1113,10525,5960,18494,15085,1688,242698,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18494,15085,1688,242688,39269,1299,2
1113,10525,5960,18493,15085,1688,242681,39267,1302,2
1113,10524,5960,18475,15057,1688,242587,39249,1302,2
1113,10524,5960,18475,15057,1688,242589,39251,1302,2
1113,10524,5960,18476,15060,1688,242537,39268,1302,2
1113,10524,5960,18476,15060,1688,242537,39268,1302,2
1113,10522,5960,18469,15056,1688,242472,39249,1302,2
1113,10522,5960,18469,15056,1688,242472,39249,1302,2
1113,10520,5960,18458,15055,1688,242418,39229,1302,2
1113,10520,5960,18458,15055,1688,242418,39229,1302,2
1113,10520,5960,18458,15055,1688,242418,39229,1302,2
1113,10520,5960,18458,15055,1688,242420,39229,1302,2
1111,10502,5960,18397,15023,1685,241896,39115,1302,2
1111,10502,5960,18397,15023,1685,241889,39112,1305,2
1111,10502,5960,18397,15023,1685,241889,39112,1305,2
1111,10486,5960,18359,15023,1684,241568,39020,1309,2
1111,10486,5960,18359,15023,1684,241568,39020,1309,2
1111,10486,5960,18337,15022,1684,241516,38994,1309,2
1111,10486,5960,18337,15022,1684,241516,38994,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1110,10483,5960,18327,15020,1683,241406,38964,1309,2
1108,10478,6008,18314,15017,1681,241297,38939,1309,2
1108,10482,6008,18323,15018,1681,241310,38942,1309,2
1108,10482,6008,18323,15018,1681,241310,38942,1309,2
1108,10482,6008,18326,15018,1681,241314,38951,1309,2
1108,10482,6008,18326,15018,1681,241314,38951,1309,2
1108,10482,6008,18326,15018,1681,241314,38951,1309,2
1108,10482,6008,18326,15018,1681,241314,38951,1309,2
1108,10482,6008,18326,15018,1681,241314,38951,1309,2
1108,10482,6008,18326,15018,1681,241314,38951,1309,2
1108,10482,6008,18325,15017,1681,241309,38949,1309,2
1108,10482,6008,18325,15017,1681,241309,38949,1309,2
1108,10482,6008,18325,15017,1681,241309,38949,1309,2
1108,10482,6008,18325,15017,1681,241309,38949,1309,2
1108,10482,6008,18325,15017,1680,241281,38949,1309,2
1104,10478,6045,18346,15115,1676,241212,38989,1310,2
1104,10478,6045,18343,15115,1676,241202,38982,1313,2
1104,10478,6045,18343,15115,1676,241202,38982,1310,2
1104,10478,6045,18343,15115,1676,241202,38982,1310,2
1104,10478,6045,18343,15115,1676,241202,38982,1310,2
1103,10471,6045,18331,15131,1675,241092,38968,1310,2
1103,10471,6045,18331,15131,1675,241092,38968,1310,2
1103,10471,6045,18331,15131,1675,241092,38968,1310,2
1100,10430,6045,18296,15134,1675,240809,38886,1326,2
1100,10430,6045,18296,15134,1675,240809,38886,1326,2
1100,10430,6045,18296,15134,1675,240809,38886,1326,2
1100,10431,6045,18301,15138,1675,240787,38890,1337,2
1100,10431,6045,18301,15138,1675,240771,38890,1337,2
784,4872,6015,8385,7845,1675,240899,13986,1342,2
784,4872,6015,8385,7845,1675,240899,13986,1342,2
784,4872,6015,8385,7845,1675,240899,13986,1342,2
783,4863,6015,8376,7845,1674,240759,13974,1346,2
783,4863,6015,8376,7845,1674,240759,13974,1346,2
783,4863,6015,8376,7845,1674,240759,13974,1346,2
783,4863,6015,8376,7845,1674,240753,13974,1346,2
783,4863,6015,8376,7845,1674,240729,13974,1346,2
783,4863,6015,8376,7845,1674,240729,13974,1346,2
783,4863,6015,8376,7845,1674,240729,13974,1346,2
784,4910,6112,8420,7893,1674,240813,14034,1349,2
783,4901,6118,8409,7881,1673,240688,14020,1351,2
