classes,ncloc,functions,duplicated_lines,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,file_complexity,violations,duplicated_blocks,duplicated_files,lines,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,Toxico
2293,130081,13973,6949,262,71.1,20001,26012,16.7,3.1,1974,12.2,2514,257,158,223697,32871,65,304,1191,849,105,46291,71.8,10881,68.1,26190,1,51,2514,0,0,0.7,0.968783638,2424,90,0,1264,5,0,1,7175,27870,0,1,0
2293,130077,13973,6949,262,71,20001,26012,16.7,3.1,1974,12.2,2523,257,158,223693,32863,70,304,1195,849,105,46286,71.7,10877,68.1,26180,1,44,2517,6,0,0.7,0.995575221,2423,94,0,1319,5,90,5,7169,27120,0,1,0
2291,129764,13935,6703,262,71.1,19947,25888,16.6,3,1972,12.2,2514,249,153,223147,32751,68,309,1181,851,105,46144,71.8,10847,68.1,25890,1,43,2514,0,0,0.7,0.025100402,2408,94,0,1319,5,140,5,7150,19920,33,5,0
2289,129557,13903,6703,262,71,19898,25774,16.6,3,1971,12.2,2509,249,153,222708,32679,65,309,1180,850,105,46053,71.8,10813,68,25850,1,42,2509,0,0,0.7,0,2403,94,0,1319,5,140,5,7138,16380,33,5,0
2289,129557,13903,6703,262,71,19898,25774,16.6,3,1971,12.2,2509,249,153,222708,32679,65,309,1180,850,105,46053,71.7,10813,68,25850,1,42,2509,0,0,0.7,0,2403,94,0,1319,5,140,5,7138,16320,33,5,0
2289,129558,13901,6703,262,71,19898,25767,16.6,3,1971,12.2,2509,249,153,222698,32678,65,309,1180,850,105,46056,71.7,10816,68,25850,1,42,2509,0,0,0.7,0.002604167,2403,94,0,1319,5,140,5,7139,38400,33,5,0
2289,129486,13893,6682,262,71,19883,25759,16.6,3,1971,12.1,2507,247,153,222598,32650,65,309,1178,850,105,46024,71.7,10794,67.9,25790,1,42,2507,0,0,0.7,0.00281294,2401,94,0,1319,5,140,5,7130,35550,33,5,0
2289,129436,13893,6682,262,70.9,19883,25747,16.6,3,1970,12.1,2514,247,153,222531,32650,65,309,1185,850,105,46024,71.7,10794,67.8,25790,1,37,2514,0,0,0.7,0.314569536,2401,101,0,1409,5,140,5,7130,108720,33,5,0
2288,129402,13889,6682,262,70.9,19878,25738,16.6,3,1969,12.2,2518,247,153,222459,32640,65,309,1185,850,109,46007,71.7,10792,67.8,25790,1,37,2518,0,0,0.7,0.318791946,2405,101,0,1409,5,140,5,7129,107280,33,5,0
2281,128974,13813,6391,262,70.8,19761,25530,16.5,2.9,1965,12.1,2505,239,149,221529,32468,65,309,1177,849,105,45816,71.5,10750,67.5,25549,1,37,2505,0,0,0.7,0.369888274,2392,101,0,1409,5,140,5,7120,92190,33,5,0
2255,127707,13685,6338,262,71.1,19573,25404,16.6,2.9,1943,12.1,2415,237,148,219459,32099,65,305,1125,818,102,45343,72,10726,67.4,25099,1,37,2415,0,0,0.7,0,2310,93,0,1309,5,140,5,7045,17520,33,5,0
2256,127749,13700,6338,262,71.1,19601,25404,16.6,2.9,1944,12.2,2420,237,148,219537,32125,65,305,1129,818,103,45360,72,10738,67.5,25174,1,37,2420,0,0,0.7,0.452609159,2315,93,0,1309,5,140,5,7037,18780,33,5,0
2255,127707,13685,6338,262,71.1,19573,25404,16.6,2.9,1943,12.1,2415,237,148,219459,32099,65,305,1125,818,102,45343,72,10726,67.4,25099,1,37,2415,0,0,0.7,0,2310,93,0,1309,5,140,5,7045,10200,33,5,0
2255,127707,13685,6338,262,71.1,19573,25404,16.6,2.9,1943,12.1,2415,237,148,219459,32099,65,305,1125,818,102,45343,72,10726,67.3,25099,1,37,2415,0,0,0.7,0,2310,93,0,1309,5,140,5,7045,10230,33,5,0
2255,127707,13685,6338,262,71.1,19573,25404,16.6,2.9,1943,12.1,2415,237,148,219459,32099,65,305,1125,818,102,45343,72,10726,67.4,25099,1,37,2415,0,0,0.7,0,2310,93,0,1309,5,140,5,7045,10230,33,5,0
2255,127707,13685,6338,262,71.1,19573,25404,16.6,2.9,1943,12.1,2415,237,148,219459,32099,65,305,1125,818,102,45343,72,10726,67.3,25099,1,37,2415,0,0,0.7,0,2310,93,0,1309,5,140,5,7045,11700,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2255,127708,13685,6338,262,71.1,19573,25404,16.6,2.9,1943,12.1,2415,237,148,219461,32099,65,305,1125,818,102,45343,72,10726,67.4,25099,1,37,2415,0,0,0.7,0.018066847,2310,93,0,1309,5,140,5,7045,22140,33,5,0
2255,127706,13684,6338,266,71.1,19572,25403,16.6,2.9,1943,12.1,2414,237,148,219455,32100,64,305,1125,818,102,45343,71.9,10726,67.3,25089,1,37,2414,0,0,0.7,0.01826484,2309,93,0,1309,5,140,5,7045,21900,33,5,0
2255,127706,13684,6338,266,71.1,19572,25403,16.6,2.9,1943,12.1,2414,237,148,219455,32100,64,305,1125,818,102,45343,72,10726,67.4,25089,1,37,2414,0,0,0.7,0.144467935,2309,93,0,1309,5,140,5,7045,28380,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2252,127318,13644,6338,266,71,19508,25226,16.5,2.9,1941,12.1,2411,237,148,218738,31946,63,305,1124,817,102,45159,71.8,10679,67.2,25072,1,37,2411,0,0,0.7,0.30848329,2306,93,0,1309,5,140,5,7019,23340,33,5,0
2252,127318,13644,6338,266,71,19508,25226,16.5,2.9,1941,12.1,2411,237,148,218738,31946,63,305,1124,817,102,45159,71.9,10679,67.2,25072,1,37,2411,0,0,0.7,0.30848329,2306,93,0,1309,5,140,5,7019,23340,33,5,0
2252,127318,13644,6338,266,71,19508,25226,16.5,2.9,1941,12.1,2412,237,148,218738,31946,63,305,1125,817,102,45159,71.9,10679,67.3,25072,1,36,2412,0,0,0.7,0.316100162,2306,94,0,1314,5,140,5,7019,105030,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2249,127115,13631,6338,254,70.9,19476,25216,16.6,2.9,1939,12.1,2409,237,148,218458,31871,63,303,1124,817,102,45060,71.8,10649,67.1,25035,1,36,2409,0,0,0.7,0.28256705,2303,94,0,1314,5,140,5,6989,104400,33,5,0
2248,126983,13620,6338,254,70.9,19462,25197,16.6,2.9,1938,12.1,2404,237,148,218272,31848,62,300,1123,817,102,45009,71.8,10643,67.1,25000,1,36,2404,0,0,0.7,0.262070356,2299,93,0,1309,5,140,5,6986,99210,33,5,0
2248,126940,13616,6338,254,70.9,19452,25196,16.6,2.9,1938,12.1,2404,237,148,218227,31835,62,300,1123,817,102,44992,71.8,10634,67.1,25000,1,36,2404,0,0,0.7,0.26326448,2299,93,0,1309,5,140,5,6983,98760,33,5,0
2183,124309,13342,6338,254,71,19012,24819,16.6,3,1902,12.1,2359,237,148,213927,31056,62,295,1101,801,100,43898,71.9,10392,67,24628,1,33,2359,0,0,0.7,0,2254,93,0,1309,5,140,5,6806,14610,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2183,124215,13343,6338,254,71,19013,24797,16.6,3,1900,12.1,2359,237,148,213805,31060,62,295,1101,801,100,43902,71.9,10392,67,24628,1,33,2359,0,0,0.7,0,2254,93,0,1309,5,140,5,6806,11250,33,5,0
2183,124215,13343,6338,254,71,19013,24797,16.6,3,1900,12.1,2359,237,148,213805,31060,62,295,1101,801,100,43902,71.9,10392,67,24628,1,33,2359,0,0,0.7,0.348162476,2254,93,0,1309,5,140,5,6806,15510,33,5,0
2183,124179,13339,6338,254,71,19005,24790,16.6,3,1900,12.1,2359,237,148,213748,31049,62,295,1101,801,100,43882,71.9,10384,67,24628,1,33,2359,0,0,0.7,0.28526149,2254,93,0,1309,5,140,5,6802,18930,33,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2183,124179,13339,6338,254,71,19005,24790,16.6,3,1900,12.1,2359,237,148,213748,31049,62,295,1101,801,100,43882,71.9,10384,67,24628,1,33,2359,0,0,0.7,0.319444444,2254,93,0,1309,5,140,5,6802,21600,33,5,0
2182,124038,13319,6338,254,71,18974,24786,16.7,3,1900,12.1,2351,237,148,213575,31006,62,294,1094,801,100,43816,71.9,10362,67,24564,1,33,2351,0,0,0.7,0.08650519,2246,93,0,1309,5,140,5,6789,17340,33,5,0
2182,123887,13318,6338,254,71,18975,24745,16.6,3,1897,12.1,2351,237,148,213368,31007,62,294,1094,801,100,43818,71.9,10366,67,24564,1,33,2351,0,0,0.7,0.61014772,2246,93,0,1309,5,140,5,6794,15570,33,5,0
2182,123887,13318,6338,254,71,18975,24745,16.6,3,1897,12.1,2351,237,148,213368,31007,62,294,1094,801,100,43818,71.9,10366,67,24564,1,33,2351,0,0,0.7,0.574712644,2246,93,0,1309,5,140,5,6794,16530,33,5,0
