Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
1,1.0,4816,1,100.0,2
2,2.0,4815,2,50.0,2
0,0.0,4813,0,0.0,2
1,0.25,4813,1,100.0,2
3,1.0,4812,2,44.44444444,2
1,0.25,4809,1,100.0,2
2,2.0,4808,2,50.0,2
2,2.0,4806,1,100.0,2
0,0.0,4804,0,0.0,2
4,1.0,4804,3,30.0,2
2,0.666666667,4800,2,50.0,2
0,0.0,4798,0,0.0,2
2,1.0,4798,2,50.0,2
2,1.0,4796,2,50.0,2
0,0.0,4794,0,0.0,2
0,0.0,4794,0,0.0,2
0,0.0,4794,0,0.0,2
0,0.0,4794,0,0.0,2
2,0.666666667,4794,2,50.0,2
1,0.2,4792,1,100.0,2
1,0.5,4791,1,100.0,2
0,0.0,4790,0,0.0,2
0,0.0,4790,0,0.0,2
0,0.0,4790,0,0.0,2
6,1.0,4790,4,22.22222222,2
0,0.0,4784,0,0.0,2
0,0.0,4784,0,0.0,2
3,0.6,4784,2,44.44444444,2
0,0.0,4781,0,0.0,2
0,0.0,4781,0,0.0,2
0,0.0,4781,0,0.0,2
1,1.0,4781,1,100.0,2
3,0.5,4780,2,44.44444444,2
2,2.0,4777,1,100.0,2
0,0.0,4775,0,0.0,2
0,0.0,4775,0,0.0,2
0,0.0,4775,0,0.0,2
3,1.5,4775,2,44.44444444,2
0,0.0,4772,0,0.0,2
3,3.0,4772,3,33.33333333,2
2,0.5,4769,2,50.0,2
1,0.25,4767,1,100.0,2
2,0.666666667,4766,2,50.0,2
3,0.75,4764,3,33.33333333,2
1,0.333333333,4761,1,100.0,2
7,0.538461538,4760,4,17.58241758,2
1,0.125,4753,1,100.0,2
0,0.0,4752,0,0.0,2
2,1.0,4752,1,100.0,2
1,1.0,4750,1,100.0,2
1,0.25,4749,1,100.0,2
11,0.34375,4748,3,27.27272727,2
0,0.0,4737,0,0.0,2
1,0.333333333,4737,1,100.0,2
3,0.214285714,4736,2,44.44444444,2
1,0.333333333,4733,1,100.0,2
1,1.0,4732,1,100.0,2
1,1.0,4731,1,100.0,2
3,0.1875,4730,3,33.33333333,2
3,0.75,4727,2,44.44444444,2
0,0.0,4724,0,0.0,2
8,0.666666667,4724,3,17.30769231,2
2,0.666666667,4716,1,100.0,2
4,0.8,4714,3,30.0,2
3,3.0,4710,2,44.44444444,2
1,0.125,4707,1,100.0,2
1,0.25,4706,1,100.0,2
1,0.5,4705,1,100.0,2
4,0.666666667,4704,4,25.0,2
4,0.666666667,4700,1,100.0,2
2,0.285714286,4696,2,50.0,2
0,0.0,4694,0,0.0,2
5,1.25,4694,4,22.85714286,2
1,0.333333333,4689,1,100.0,2
5,1.25,4688,2,48.0,2
4,1.333333333,4683,3,30.0,2
6,1.5,4679,2,50.0,2
2,2.0,4673,2,50.0,2
0,0.0,4671,0,0.0,2
2,0.5,31323,2,50.0,1
257,3.294871795,31321,25,0.904257193,1
192,3.096774194,31064,24,1.241017817,1
148,4.111111111,30872,23,1.669402455,1
147,3.675,30724,25,1.381642558,1
249,3.661764706,30577,23,1.107636274,1
190,2.878787879,30328,26,1.214998534,1
207,2.274725275,30138,27,0.939116368,1
