Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight
3,0.1875,4730,3,33.33333333
3,0.75,4727,2,44.44444444
0,0,4724,0,0
8,0.666666667,4724,3,17.30769231
2,0.666666667,4716,1,100
4,0.8,4714,3,30
3,3,4710,2,44.44444444
1,0.125,4707,1,100
1,0.25,4706,1,100
1,0.5,4705,1,100
4,0.666666667,4704,4,25
4,0.666666667,4700,1,100
2,0.285714286,4696,2,50
0,0,4694,0,0
5,1.25,4694,4,22.85714286
1,0.333333333,4689,1,100
5,1.25,4688,2,48
4,1.333333333,4683,3,30
6,1.5,4679,2,50
2,2,4673,2,50
0,0,4671,0,0
2,0.5,31323,2,50
257,3.294871795,31321,25,0.904257193
192,3.096774194,31064,24,1.241017817
148,4.111111111,30872,23,1.669402455
147,3.675,30724,25,1.381642558
249,3.661764706,30577,23,1.107636274
190,2.878787879,30328,26,1.214998534
207,2.274725275,30138,27,0.939116368
192,2.909090909,29931,24,1.143232094
226,3.64516129,29739,31,0.841397823
234,3.295774648,29513,23,0.950412716
220,3.492063492,29279,22,1.197898279
5,5,29059,2,48
0,0,29054,0,0
163,0.594890511,17500,15,0.904495478
78,1.5,17337,5,4.19471466
20,1.333333333,17259,5,10.34482759
296,1.672316384,17239,15,0.588719191
229,1.25136612,16943,18,0.661746497
30,1.764705882,16714,5,7.631874299
99,2.911764706,16684,9,2.807000157
0,0,16585,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2148,0,0
16,5.333333333,2148,2,42.96875
0,0,2132,0,0
7,7,2132,1,100
0,0,2125,0,0
0,0,2125,0,0
8,4,2125,1,100
64,1.488372093,2117,3,8.217131474
12,1.333333333,2053,2,48.61111111
4,4,2041,2,37.5
17,1.545454545,2037,2,48.44290657
0,0,2020,0,0
0,0,2020,0,0
3,3,2020,1,100
12,12,2017,1,100
0,0,2005,0,0
0,0,2005,0,0
0,0,2005,0,0
0,0,2005,0,0
19,19,2005,2,26.59279778
0,0,1986,0,0
0,0,1986,0,0
0,0,1986,0,0
0,0,1986,0,0
0,0,1986,0,0
11,11,1986,1,100
0,0,1975,0,0
0,0,1975,0,0
3,1.5,1975,2,44.44444444
15,7.5,1972,3,15.25423729
0,0,1957,0,0
0,0,1957,0,0
3,3,1957,1,100
18,1.384615385,1954,3,22.10526316
0,0,1936,0,0
7,7,1936,2,24.48979592
9,3,1929,1,100
0,0,1920,0,0
12,1.714285714,1920,2,48.61111111
22,11,1908,2,29.75206612
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
0,0,1886,0,0
32,1.777777778,1886,2,49.8046875
0,0,1854,0,0
11,1.833333333,1854,4,13.75921376
10,0.833333333,1843,2,48
4,4,1833,1,100
9,9,1829,2,44.44444444
3,1.5,1820,1,100
67,1.970588235,1817,4,3.770620581
6,2,1750,2,44.44444444
