FRUTO,Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,INCIDENCIA,SEVERIDAD
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,45
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,40
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,75
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,70
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,70
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,40
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,60
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,70
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,40
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,30
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,50
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,40
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
2,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
3,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
4,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
5,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
6,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
7,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
8,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,1,65
9,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
10,0.001984127,23.41535119,84.20419048,20.1311627,0.196924603,0.94796627,173.0823413,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,10
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,90
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,100
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,80
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,100
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,50
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,100
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,80
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,100
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,1,80
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
8,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
9,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
10,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
1,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
2,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
3,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
4,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
5,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
6,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
7,0.015575397,25.02377927,86.22519792,22.19985714,0.095982143,0.745287698,180.5768849,0,0
